iter	Passed	Remaining
0	5	548
1	11	545
2	14	472
3	16	398
4	18	349
5	22	345
6	24	321
7	26	307
8	29	301
9	32	296
10	34	277
11	36	267
12	40	268
13	43	268
14	45	258
15	47	250
16	51	249
17	53	242
18	57	243
19	59	236
20	61	230
21	62	222
22	67	224
23	70	223
24	73	220
25	75	213
26	76	207
27	80	207
28	83	203
29	85	199
30	87	194
31	91	195
32	93	189
33	97	189
34	100	186
35	101	181
36	103	176
37	105	171
38	108	170
39	111	167
40	115	166
41	120	165
42	122	162
43	126	161
44	129	158
45	131	154
46	133	151
47	138	149
48	140	146
49	143	143
50	145	139
51	150	138
52	154	136
53	155	132
54	159	130
55	161	127
56	165	125
57	167	121
58	172	119
59	174	116
60	176	112
61	179	109
62	183	107
63	187	105
64	189	102
65	194	99
66	196	96
67	200	94
68	203	91
69	207	89
70	211	86
71	214	83
72	218	80
73	220	77
74	223	74
75	225	71
76	226	67
77	229	64
78	232	61
79	234	58
80	238	55
81	242	53
82	244	50
83	246	47
84	248	43
85	250	40
86	254	38
87	258	35
88	261	32
89	265	29
90	269	26
91	273	23
92	277	20
93	282	18
94	286	15
95	290	12
96	294	9
97	298	6
98	301	3
99	305	0
